dataset_id,Nf,stress_amp,strain_amp,deltaK,dadN,fatigue_data_type,material,am_process,am_machine,power_w,scan_speed,hatch_spacing,layer_thickness,preheat_temp,build_direction,am_environment,scan_pattern,scan_rotation,fatigue_temp,fatigue_environment,r_ratio,frequency_hz,load_control,specimen_description,specimen_size_mm,Kt,E_gpa,yield_strength,uts,elongation,material_group
24,222445.07189206404,175.20971154401192,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,310500.4237618536,160.25978238819812,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,498925.2884479556,160.31286689953765,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,733025.2752358099,170.3552712893383,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,849080.6302786692,155.63276568909995,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,3277867.4243668905,155.40033652938584,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,9937170.107246479,140.62975202194653,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,9958871.498263486,158.87239626164146,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
24,9969739.959610675,155.7590258261349,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,19027.54248187518,239.82869179736775,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,53012.287640035436,249.98763037967163,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,55795.547206637784,230.0768066827595,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,211266.42672981205,220.14557691977663,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,318435.51395049924,210.1081781341146,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,598344.624735723,200.32193650741772,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,2464467.9297583653,190.71057692757722,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,9948014.88511416,198.2917105281633,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
25,10017467.070111327,214.57594129919417,,,,sn,316l,binderjetting,hpmetaljetalpha,,,,,,90,,,,25,air,-1.0,,force,rectangularcrosssectionwithdrawing,,1.0,187.0,144.7,494.7,66.5,316L
81,86687.68209350691,348.7447888761801,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,374796.7893253531,298.7838631035351,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,596324.076634362,252.95982335473718,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,658317.5457036402,322.0721640928736,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,684637.7685292922,308.6191056465305,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,899677.5217651485,305.0288589320863,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,9996126.08716166,306.1182242201376,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,9996126.08716166,265.00960821093054,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,9996126.08716166,239.8410677971303,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,10000000.0,292.02913631633714,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,10000000.0,252.33090530697189,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,10029153.15014217,277.8036162546123,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
81,10029153.15014217,228.90547668645476,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
82,241386.85970249164,299.4354154115778,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
82,472189.239841492,254.3626777662157,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
82,630826.1319073365,239.62269354000756,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
82,735019.0945396156,229.65131111720436,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
82,804446.4598623782,241.03998469027712,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
82,1428419.7140450478,229.65131111720436,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
82,2096392.690687635,249.8659729448491,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
82,9998688.565679226,242.70207698924833,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
82,9998688.565679226,230.8510837342348,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
82,10019872.666627102,219.92650465518213,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,408.0,601.0,60.0,316L
83,71503.2376127416,369.9674346131243,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
83,176150.36724283776,249.99177112404703,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
83,1071366.55768075,230.11304327822802,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
83,1315449.1959939543,299.971925266319,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
83,2118141.3292725557,320.4348297774816,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
83,2184913.1988277864,250.14568158168575,,,,sn,316l,lpbf,slm500,190,750.0,120.0,30,100,90,ar,,67.0,25,air,-1.0,,force,circularcrosssectionwithdrawingastme466,6.35,1.0,,516.0,633.0,63.0,316L
